Type,Value,Unit,Time
internaltemp,29.7,Celsius,07-07-19 11:24
internalrh,69,%,07-07-19 11:24
internaltemp,29.5,Celsius,07-07-19 11:34
internalrh,59,%,07-07-19 11:34
internaltemp,29.2,Celsius,07-07-19 11:45
internalrh,61,%,07-07-19 11:45
internaltemp,29.2,Celsius,07-07-19 11:54
internalrh,64,%,07-07-19 11:54
internaltemp,29.3,Celsius,07-07-19 12:04
internalrh,64,%,07-07-19 12:04
internaltemp,29.3,Celsius,07-07-19 12:14
internalrh,62,%,07-07-19 12:14
internaltemp,29.1,Celsius,07-07-19 12:24
internalrh,60,%,07-07-19 12:24
internaltemp,28.9,Celsius,07-07-19 12:34
internalrh,61,%,07-07-19 12:34
internaltemp,29.1,Celsius,07-07-19 12:44
internalrh,64,%,07-07-19 12:44
internaltemp,29.2,Celsius,07-07-19 12:55
internalrh,63,%,07-07-19 12:55
internaltemp,29.5,Celsius,07-07-19 13:04
internalrh,61,%,07-07-19 13:04
internaltemp,29.7,Celsius,07-07-19 13:14
internalrh,61,%,07-07-19 13:14
internaltemp,29.5,Celsius,07-07-19 13:24
internalrh,63,%,07-07-19 13:24
internaltemp,27.2,Celsius,07-07-19 13:34
internalrh,55,%,07-07-19 13:34
internaltemp,25.3,Celsius,07-07-19 13:44
internalrh,60,%,07-07-19 13:44
internaltemp,24.7,Celsius,07-07-19 13:54
internalrh,73,%,07-07-19 13:54
internaltemp,24.7,Celsius,07-07-19 14:04
internalrh,77,%,07-07-19 14:04
internaltemp,24.6,Celsius,07-07-19 14:14
internalrh,78,%,07-07-19 14:14
internaltemp,24.6,Celsius,07-07-19 14:24
internalrh,79,%,07-07-19 14:24
internaltemp,24.9,Celsius,07-07-19 14:34
internalrh,79,%,07-07-19 14:34
internaltemp,24.9,Celsius,07-07-19 14:44
internalrh,80,%,07-07-19 14:44
internaltemp,25,Celsius,07-07-19 14:54
internalrh,80,%,07-07-19 14:54
internaltemp,25.1,Celsius,07-07-19 15:04
internalrh,80,%,07-07-19 15:04
internaltemp,25.1,Celsius,07-07-19 15:15
internalrh,80,%,07-07-19 15:15
internaltemp,25.1,Celsius,07-07-19 15:25
internalrh,80,%,07-07-19 15:25
internaltemp,25.1,Celsius,07-07-19 15:35
internalrh,80,%,07-07-19 15:35
internaltemp,25.1,Celsius,07-07-19 15:45
internalrh,80,%,07-07-19 15:45
internaltemp,25.1,Celsius,07-07-19 15:55
internalrh,80,%,07-07-19 15:55
internaltemp,25.1,Celsius,07-07-19 16:05
internalrh,80,%,07-07-19 16:05
